Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
8814,3033041,RES2,6.0,60881505,0.0,6088,1
8824,82014151,RES2,6.0,60290106,0.0,6029,13047
8941,3115361,RES1,6.0,60880503,0.0,6088,5320
8943,1763951,RES11,9.0,60290111,0.0,6029,2897
8963,2664801,RES1,6.0,60882002,0.0,6088,7434
8967,2908261,RES2,9.0,60270113,0.0,6027,19889
8990,2849961,RES11,9.0,61610105,0.0,6161,5701
9056,2871321,RES2,6.0,60882202,0.0,6088,10851
9109,2941351,RES2,6.0,60881101,0.0,6088,5908
9118,4478121,RES2,6.0,41970000,1.0,4197,21852
9283,20108911,RES1,6.0,30940000,1.0,3094,11272
9289,2954091,RES2,6.0,61230109,0.0,6123,11099
9397,20108061,RES1,6.0,30950103,0.0,3095,4261
9462,2465321,RES1,6.0,50610108,0.0,5061,11055
9467,2902101,RES11,12.0,61280000,0.0,6128,16203
9489,2671351,RES2,9.0,60882301,0.0,6088,14684
9545,3029711,RES2,6.0,61470000,1.0,6147,17770
9574,3145851,RES2,6.0,60880602,0.0,6088,9017
9588,2484831,RES2,15.0,42050000,1.0,4205,24011
9608,3121901,RES1,6.0,60883202,0.0,6088,3059
9635,1677021,RES1,6.0,60290102,0.0,6029,3447
9790,2711271,RES2,6.0,60881309,0.0,6088,4737
9801,83487031,RES2,9.0,60040108,,6004,9327
9880,37281011,RES1,6.0,81050102,1.0,8105,4624
9949,8263751,RES2,6.0,91570000,1.0,9157,7083
9990,2887251,RES2,6.0,60882804,0.0,6088,11046
10068,2592611,RES1,6.0,60881005,0.0,6088,9137
10105,4723231,RES2,12.0,41120109,0.0,4112,51942
10131,1589891,RES11,9.0,60290111,0.0,6029,1007
10222,2600831,RES2,6.0,60880304,0.0,6088,11443
10269,2452091,RES2,6.0,50610103,1.0,5061,12967
10280,2747001,RES1,6.0,60882703,0.0,6088,6396
10331,4356301,RES1,6.0,41120102,0.0,4112,2236
10374,20486251,RES2,12.0,31060000,1.0,3106,24169
10408,3004921,RES1,6.0,60882903,0.0,6088,6360
10443,2955211,RES1,3.0,60881305,0.0,6088,3387
10455,2751481,RES1,6.0,60270113,0.0,6027,2672
10500,15286031,RES1,3.0,10530302,0.0,1053,6169
10520,2802041,RES1,6.0,60881307,0.0,6088,6544
10550,2573521,RES1,6.0,60882803,0.0,6088,9141
10556,7963691,RES2,9.0,90600000,1.0,9060,19301
10560,2805921,RES2,6.0,60330105,1.0,6033,17101
10649,3046311,RES1,6.0,60881302,0.0,6088,4138
10665,20190521,RES1,6.0,31900102,0.0,3190,4948
10667,3158091,RES2,6.0,60880205,0.0,6088,5275
10673,20216501,RES1,6.0,31900106,0.0,3190,1488
10679,1819681,RES1,6.0,60290120,0.0,6029,17125
10744,20434311,RES1,6.0,31850102,1.0,3185,10050
10769,2775071,RES1,6.0,60881304,0.0,6088,9736
10790,4711731,RES2,6.0,41120107,0.0,4112,9334
10806,2891031,RES1,6.0,60270101,0.0,6027,3010
10814,3075631,RES1,3.0,61230107,0.0,6123,3291
10902,20421801,RES2,9.0,32790000,1.0,3279,20090
10908,3074591,RES1,6.0,60881604,0.0,6088,3352
10919,2790841,RES1,6.0,60880301,0.0,6088,12398
10962,2847871,RES1,6.0,60881302,0.0,6088,3423
10970,3057571,RES1,6.0,60883102,0.0,6088,17008
11010,3018431,RES11,12.0,61610106,0.0,6161,27482
11034,2694201,RES1,6.0,60883403,0.0,6088,12
11048,8150551,RES1,6.0,91220101,0.0,9122,2395
11061,2805981,RES1,6.0,60881305,0.0,6088,632
11094,20363651,RES2,9.0,32620000,1.0,3262,11812
11126,3112451,RES2,6.0,60883101,0.0,6088,17843
11133,2335331,RES2,18.0,50610104,1.0,5061,89878
11271,2877611,RES2WE,6.0,60882401,0.0,6088,12383
11277,3015451,RES1,6.0,60881204,0.0,6088,5550
11298,3053921,RES1,6.0,60880503,0.0,6088,7892
11335,2574331,RES1,6.0,60330102,0.0,6033,5005
11371,2824491,RES2,6.0,61230107,0.0,6123,460
11396,20332131,RES1,3.0,31850114,1.0,3185,4887
11451,3065271,RES1,6.0,60880602,0.0,6088,6516
11473,2637811,RES1,6.0,60330105,1.0,6033,15830
11484,2762351,RES2,6.0,60883403,1.0,6088,9819
11544,37563801,RES1,6.0,27220201,0.0,2722,2162
11568,3041561,RES2,6.0,60880201,0.0,6088,13274
11571,2503741,RES4,12.0,42050000,1.0,4205,23331
11581,2921401,RES1,6.0,60881001,0.0,6088,3504
11584,2963381,RES1,6.0,60881306,0.0,6088,2157
11586,20378091,RES2,9.0,31850106,0.0,3185,34376
11588,2743851,RES2,6.0,60880302,0.0,6088,9800
11648,1789281,RES2,12.0,60290111,0.0,6029,5476
11660,2396941,RES2,6.0,50610115,0.0,5061,9956
11665,1528621,RES1,6.0,60040108,0.0,6004,5568
11687,2986361,RES1,6.0,60883002,0.0,6088,2569
11701,3026331,RES1,6.0,60881604,0.0,6088,19470
11780,1711371,RES1,6.0,60290102,0.0,6029,6415
11819,4101031,RES2,9.0,41120101,1.0,4112,15998
11837,2724651,RES2,6.0,60880502,0.0,6088,5264
11839,1778041,RES1,6.0,60040108,0.0,6004,9770
11854,2602451,RES2,6.0,60882402,0.0,6088,3829
11901,2510231,RES1,6.0,50610113,1.0,5061,5299
11929,2605081,RES2,18.0,60882401,0.0,6088,1019
11943,2763661,RES2,18.0,61260000,1.0,6126,32553
12009,2688451,RES1,6.0,60882801,0.0,6088,2382
12020,2624191,RES1,6.0,60330102,0.0,6033,5348
12071,20483591,RES1,3.0,31850107,0.0,3185,4628
12096,2595771,RES1,6.0,60880504,0.0,6088,6112
12101,2649851,RES1,6.0,60881601,0.0,6088,11143
12106,2613961,RES1,3.0,60881202,0.0,6088,0
12233,37317511,RES1,6.0,20800000,1.0,2080,8983
12256,3044941,RES2,6.0,60882901,0.0,6088,4453
12267,3126621,RES2,9.0,60882202,0.0,6088,20561
12286,2682201,RES2,6.0,60883102,0.0,6088,23180
12343,4241081,RES2,6.0,41120102,0.0,4112,6160
12351,37546211,RES1,6.0,27220301,0.0,2722,232
12400,20337331,RES1,6.0,31850111,1.0,3185,6868
12413,1564941,RES1,6.0,60290119,0.0,6029,34587
12424,2654591,RES1,6.0,60882705,0.0,6088,1958
12447,3145401,RES2,9.0,60881403,0.0,6088,21970
12451,2604731,RES2,9.0,60881506,0.0,6088,5283
12466,2767781,RES2,9.0,61230107,1.0,6123,17070
12507,2736011,RES2,6.0,60880702,0.0,6088,9666
12509,1781071,RES1,6.0,60290104,1.0,6029,3707
12622,37414991,RES2,6.0,22540000,1.0,2254,26074
12656,20357701,RES1,6.0,31010102,1.0,3101,7050
12662,2916191,RES1,6.0,60881201,0.0,6088,6174
12702,20267111,RES2,9.0,33210103,1.0,3321,22012
12719,2444991,RES1,6.0,50610109,1.0,5061,9369
12738,2878711,RES1,6.0,60882201,0.0,6088,3258
12766,20337161,RES11,9.0,31950000,1.0,3195,10419
12793,2903671,RES1,6.0,60880305,0.0,6088,4935
12797,37283311,RES2,12.0,83930000,1.0,8393,25491
12844,3052791,RES1,6.0,60881504,0.0,6088,6414
12933,1583991,RES2,9.0,60040106,1.0,6004,33042
12949,3143731,RES1,6.0,60882502,0.0,6088,4081
12968,3009811,RES2,6.0,60270110,1.0,6027,12412
13045,8100521,RES2,9.0,93360000,1.0,9336,7378
13136,3004701,RES1,3.0,60881004,0.0,6088,4870
13284,2855491,RES2,6.0,60882704,0.0,6088,5952
13461,2773581,RES1,6.0,60882905,0.0,6088,4
13464,2936521,RES1,6.0,60882802,0.0,6088,12188
13478,3122161,RES2,6.0,61230105,0.0,6123,4396
13482,2330161,RES2,12.0,50610107,0.0,5061,26126
13492,4066761,RES11,18.0,41970000,1.0,4197,52198
13507,1536771,RES2,6.0,60040108,0.0,6004,3738
13641,2651481,RES3,18.0,60270115,1.0,6027,30737
13645,2989231,RES1,6.0,60882704,0.0,6088,5886
13646,8151241,RES1,6.0,91220104,1.0,9122,13560
13683,2652661,RES1,6.0,60880602,0.0,6088,6461
13715,20368761,RES1,3.0,31850103,0.0,3185,1507
13800,2722791,RES2,9.0,60330101,0.0,6033,22419
13830,20262951,RES11,18.0,33210102,1.0,3321,11181
13840,2872761,RES1,6.0,60881502,0.0,6088,7466
13855,20342801,RES2,12.0,31010101,1.0,3101,39028
13878,3082121,RES2,6.0,60881901,0.0,6088,1618
13895,3042821,RES2,6.0,60882804,0.0,6088,5886
13927,3150921,RES1,6.0,60880604,0.0,6088,10170
14069,20389421,RES1,6.0,31850114,1.0,3185,10173
14081,2507941,RES2,6.0,50610115,0.0,5061,11138
14111,3124191,RES2,9.0,60882504,0.0,6088,17606
14158,1626681,RES2,18.0,60040108,1.0,6004,5884
14199,20206361,RES4,18.0,30850000,1.0,3085,9143
14244,4369421,RES11,9.0,41120105,1.0,4112,38570
14271,4170891,RES2,6.0,40940000,1.0,4094,3304
14303,20220431,RES1,6.0,31900102,1.0,3190,5085
14348,20235791,RES1,6.0,30950105,1.0,3095,7937
